代码,周期,最新日期,收盘价,评分,等级,L1,H1,L2,首波涨幅%,回调幅度%,阶段,突破前高,均线多头,RSI,量比,止损价
300907,日线,2026-06-17,46.01,75,A,10.82,54.69,27.55,405.5,61.9,LEG1,否,是,49.8,0.55,27.0
601398,日线,2026-06-17,7.36,75,A,4.72,7.54,6.0,59.7,54.6,LEG1,否,是,43.0,0.89,5.88
600550,日线,2026-06-17,12.8,75,A,3.2,17.32,14.38,441.2,20.8,LEG1,否,否,47.9,1.37,14.09
600403,日线,2026-06-17,6.22,75,A,2.29,8.95,5.52,290.8,51.5,LEG1,否,是,40.0,1.48,5.41
688165,日线,2026-06-17,19.93,75,A,6.24,21.77,17.72,248.9,26.1,LEG1,否,是,49.8,0.66,17.37
600985,日线,2026-06-17,15.45,75,A,11.02,17.77,12.66,61.3,75.7,LEG1,否,是,41.8,0.67,12.41
600983,日线,2026-06-17,8.97,75,A,6.08,8.96,9.81,47.4,-29.5,BREAKOUT,是,否,66.3,1.88,9.61
300966,日线,2026-06-17,26.27,75,A,12.03,28.53,18.44,137.2,61.2,LEG1,否,是,49.5,0.48,18.07
000955,日线,2026-06-17,4.63,75,A,2.65,4.76,4.59,79.6,8.1,LEG1,否,否,72.2,2.98,4.5
300721,日线,2026-06-17,30.12,75,A,6.7,37.39,28.01,458.1,30.6,READY,否,是,47.3,0.84,27.45
300694,日线,2026-06-17,10.15,75,A,6.8,13.05,11.17,91.9,30.1,LEG1,否,否,40.8,1.36,10.95
600246,日线,2026-06-17,17.61,75,A,3.91,18.87,8.91,382.6,66.6,LEG1,否,是,59.8,0.74,8.73
688322,日线,2026-06-17,130.68,75,A,18.83,150.0,41.53,696.6,82.7,LEG1,否,是,58.4,0.77,40.7
688531,日线,2026-06-17,181.3,75,A,35.74,215.0,64.1,501.6,84.2,LEG1,否,是,57.3,0.81,62.82
600726,日线,2026-06-17,8.3,75,A,1.77,10.89,6.02,515.3,53.4,LEG1,否,是,45.3,0.68,5.9
301502,日线,2026-06-17,84.66,75,A,29.31,90.0,39.9,207.1,82.6,LEG1,否,是,55.1,0.53,39.1
301488,日线,2026-06-17,145.13,75,A,30.58,180.0,68.73,488.6,74.5,LEG1,否,是,44.1,0.57,67.36
688516,日线,2026-06-17,60.4,75,A,31.08,93.39,64.69,200.5,46.1,LEG1,否,否,51.9,1.52,63.4
688352,日线,2026-06-17,18.81,75,A,8.23,24.58,11.86,198.7,77.8,LEG1,否,是,53.2,0.67,11.62
688347,日线,2026-06-17,260.7,75,A,26.6,258.0,110.11,869.9,63.9,LEG1,是,是,73.3,0.83,107.91
002608,日线,2026-06-17,8.75,75,A,6.12,11.13,7.89,81.9,64.7,LEG1,否,是,41.2,0.72,7.73
603283,日线,2026-06-17,63.06,75,A,30.0,72.72,45.48,142.4,63.8,READY,否,否,73.6,1.31,44.57
300649,日线,2026-06-17,27.46,75,A,7.63,28.67,12.8,275.8,75.4,LEG1,否,是,65.5,0.65,12.54
605289,日线,2026-06-17,133.2,75,A,18.05,123.9,101.47,586.4,21.2,BREAKOUT,是,否,73.6,1.52,99.44
001206,日线,2026-06-17,17.29,75,A,9.39,21.94,13.78,133.7,65.0,LEG1,否,否,59.8,1.35,13.5
001205,日线,2026-06-17,14.17,75,A,10.35,15.4,13.55,48.8,36.6,READY,否,否,51.7,1.88,13.28
601618,日线,2026-06-17,2.75,75,A,2.54,2.86,2.72,12.6,43.7,LEG1,否,否,55.2,1.62,2.67
601611,日线,2026-06-17,11.63,75,A,6.05,12.85,13.2,112.4,-5.1,LEG1,否,否,58.2,1.83,12.94
300014,日线,2026-06-17,67.54,75,A,30.53,66.91,53.92,119.2,35.7,BREAKOUT,是,否,70.0,1.91,52.84
600563,日线,2026-06-17,170.05,75,A,71.22,182.88,115.68,156.8,60.2,LEG1,否,是,59.3,0.73,113.37
002579,日线,2026-06-17,18.47,75,A,4.89,21.88,11.53,347.4,60.9,LEG1,否,是,62.9,0.67,11.3
002528,日线,2026-06-17,4.67,75,A,1.62,5.04,4.04,211.1,29.2,LEG1,否,是,43.5,0.8,3.96
002522,日线,2026-06-17,7.22,75,A,2.86,7.82,6.01,173.4,36.5,READY,否,是,56.1,0.92,5.89
300099,日线,2026-06-17,8.18,75,A,3.52,9.18,7.04,160.8,37.8,READY,否,否,61.6,3.55,6.9
300076,日线,2026-06-17,4.82,75,A,2.7,5.04,5.79,86.7,-32.1,LEG1,否,否,63.7,1.57,5.67
600222,日线,2026-06-17,7.88,75,A,3.75,9.05,6.35,141.3,50.9,LEG1,否,是,46.4,0.73,6.22
300165,日线,2026-06-17,6.3,75,A,1.9,9.11,4.49,379.5,64.1,LEG1,否,否,62.9,1.62,4.4
300163,日线,2026-06-17,6.35,75,A,1.02,7.3,2.45,615.7,77.2,LEG1,否,是,54.1,0.66,2.4
601838,日线,2026-06-17,19.23,75,A,12.17,19.36,16.7,59.1,37.0,LEG1,否,是,46.2,0.73,16.37
001269,日线,2026-06-17,26.35,75,A,18.01,31.22,22.41,73.3,66.7,LEG1,否,是,46.2,0.91,21.96
001268,日线,2026-06-17,41.74,75,A,12.66,46.49,15.71,267.2,91.0,LEG1,否,是,56.0,0.77,15.4
300669,日线,2026-06-17,29.54,75,A,8.9,36.58,25.7,311.0,39.3,READY,否,否,54.2,1.64,25.19
301000,日线,2026-06-17,34.26,75,A,11.0,40.5,27.66,268.2,43.5,LEG1,否,否,62.2,1.43,27.11
300993,日线,2026-06-17,10.87,75,A,7.79,12.76,11.72,63.8,20.9,LEG1,否,否,59.2,1.88,11.49
300975,日线,2026-06-17,41.25,75,A,4.84,48.98,12.26,912.0,83.2,LEG1,否,是,58.1,0.85,12.01
688190,日线,2026-06-17,111.64,75,A,50.5,133.66,79.1,164.7,65.6,LEG1,否,是,61.4,0.72,77.52
688187,日线,2026-06-17,58.62,75,A,30.25,66.2,51.35,118.8,41.3,LEG1,否,是,59.1,0.67,50.32
000037,日线,2026-06-17,11.52,75,A,6.1,12.94,10.11,112.1,41.4,READY,否,是,54.8,0.98,9.91
300596,日线,2026-06-17,46.01,75,A,18.07,48.44,36.28,168.1,40.0,READY,否,否,67.0,1.65,35.55
300593,日线,2026-06-17,37.66,75,A,7.7,42.43,30.9,451.0,33.2,READY,否,是,57.4,0.97,30.28
300589,日线,2026-06-17,13.21,75,A,8.46,17.17,14.94,103.0,25.6,LEG1,否,否,45.3,1.78,14.64
600360,日线,2026-06-17,12.18,75,A,2.33,14.06,7.85,503.4,52.9,LEG1,否,是,55.3,0.88,7.69
600352,日线,2026-06-17,11.96,75,A,7.18,13.79,10.49,92.1,49.9,READY,否,否,67.0,1.63,10.28
605166,日线,2026-06-17,10.8,75,A,6.42,11.11,9.75,73.1,29.0,LEG1,否,否,62.3,1.89,9.55
001314,日线,2026-06-17,57.52,75,A,31.07,64.46,38.32,107.5,78.3,LEG1,否,是,60.3,0.78,37.55
601872,日线,2026-06-17,17.1,75,A,5.74,19.5,13.91,239.7,40.6,READY,否,否,64.7,1.58,13.63
688307,日线,2026-06-17,73.0,75,A,14.31,135.0,60.24,843.4,61.9,READY,否,否,55.8,1.38,59.04
301396,日线,2026-06-17,215.61,75,A,13.8,372.6,83.18,2600.0,80.7,LEG1,否,否,61.1,1.57,81.52
301369,日线,2026-06-17,208.78,75,A,29.21,299.2,168.01,924.3,48.6,READY,否,否,65.0,1.37,164.65
301365,日线,2026-06-17,33.87,75,A,8.08,39.27,28.22,386.0,35.4,READY,否,否,64.3,1.58,27.66
301328,日线,2026-06-17,63.22,75,A,26.41,91.0,51.0,244.6,61.9,READY,否,否,63.0,1.94,49.98
688334,日线,2026-06-17,19.2,75,A,13.02,22.1,20.62,69.7,16.3,LEG1,否,否,51.4,2.6,20.21
688328,日线,2026-06-17,75.38,75,A,11.33,84.6,62.3,646.7,30.4,READY,否,是,66.7,0.94,61.05
603215,日线,2026-06-17,15.48,75,A,11.45,18.5,17.79,61.6,10.1,LEG1,否,否,50.0,1.79,17.43
603212,日线,2026-06-17,15.86,75,A,8.45,16.57,13.8,96.1,34.1,LEG1,否,是,51.5,0.91,13.52
600615,日线,2026-06-17,11.04,75,A,7.17,12.98,10.58,81.0,41.3,LEG1,否,否,69.5,2.36,10.37
300159,日线,2026-06-17,4.12,75,A,1.47,4.33,2.92,194.6,49.3,LEG1,否,是,53.2,0.83,2.86
300151,日线,2026-06-17,23.58,75,A,10.24,25.88,14.61,152.7,72.1,LEG1,否,是,58.2,0.81,14.32
605089,日线,2026-06-17,21.25,75,A,16.38,23.37,22.44,42.7,13.3,LEG1,否,否,44.5,1.4,21.99
001400,日线,2026-06-17,114.06,75,A,54.62,123.86,92.64,126.8,45.1,LEG1,否,否,40.4,1.33,90.79
001387,日线,2026-06-17,13.07,75,A,10.48,14.85,12.51,41.7,53.5,LEG1,否,否,66.2,4.17,12.26
688981,日线,2026-06-17,134.7,75,A,40.01,159.05,120.0,297.5,32.8,READY,否,是,58.2,0.87,117.6
688799,日线,2026-06-17,47.11,75,A,30.02,64.0,53.01,113.2,32.3,LEG1,否,否,40.9,2.17,51.95
301071,日线,2026-06-17,74.07,75,A,21.6,89.74,38.3,315.5,75.5,LEG1,否,是,57.0,0.83,37.53
600919,日线,2026-06-17,11.53,75,A,7.17,11.46,9.86,59.8,37.3,LEG1,是,是,49.0,0.91,9.66
600885,日线,2026-06-17,33.94,75,A,20.9,36.72,28.34,75.7,53.0,LEG1,否,是,58.3,0.75,27.77
301058,日线,2026-06-17,8.58,75,A,7.59,9.17,9.38,20.8,-13.3,LEG1,否,否,47.6,2.23,9.19
688206,日线,2026-06-17,39.0,75,A,12.1,47.55,35.88,293.0,32.9,READY,否,是,51.0,0.65,35.16
603005,日线,2026-06-17,46.12,75,A,13.44,48.5,25.92,260.9,64.4,LEG1,否,是,62.0,0.64,25.4
002083,日线,2026-06-17,10.81,75,A,3.43,10.4,10.91,203.2,-7.3,BREAKOUT,是,否,69.7,3.27,10.69
002075,日线,2026-06-17,3.76,75,A,2.84,4.82,4.57,69.7,12.6,LEG1,否,否,48.8,1.64,4.48
002056,日线,2026-06-17,26.32,75,A,10.81,30.24,17.77,179.7,64.2,LEG1,否,是,55.9,0.93,17.41
601985,日线,2026-06-17,9.3,75,A,7.55,9.37,8.66,24.1,39.0,LEG1,否,是,67.9,0.88,8.49
601939,日线,2026-06-17,10.13,75,A,6.35,10.45,8.8,64.6,40.2,LEG1,否,是,41.9,0.76,8.62
300567,日线,2026-06-17,215.76,75,A,44.3,232.0,175.0,423.7,30.4,READY,否,是,67.9,0.93,171.5
002047,日线,2026-06-17,4.73,75,A,1.32,5.88,4.5,345.5,30.3,LEG1,否,否,59.1,2.53,4.41
002040,日线,2026-06-17,8.58,75,A,4.88,11.0,8.13,125.4,46.9,READY,否,否,42.7,1.55,7.97
605100,日线,2026-06-17,37.26,75,A,9.41,58.7,31.86,523.8,54.5,READY,否,否,50.5,1.61,31.22
