symbol,entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,qty,multiplier,atr_entry,pnl,r_mult,risk_amt,bars_held,exit_reason,equity_at_entry
EB0,6125,6127,2025-10-30 06:00:00,2025-10-30 13:00:00,-1,6448.0,6463.679486553326,4,5.0,27.637788419928032,-313.5897310665132,-0.3782137295766178,829.133652597841,2,stop,3121493.2310868423
AG0,5057,5070,2025-10-30 13:30:00,2025-10-31 02:30:00,1,11311.0,11445.766781433904,1,15.0,58.61423390757187,2021.5017215085572,1.5328106326120492,1318.8202629203672,13,stop,3121493.2310868423
AU0,5058,5070,2025-10-30 14:00:00,2025-10-31 02:30:00,1,916.74,919.4765876625319,1,1000.0,4.486687128161592,2736.5876625318606,0.4066233554753749,6730.030692242389,12,stop,3121179.6413557758
SC0,5076,5077,2025-10-31 13:30:00,2025-10-31 14:00:00,1,465.6,464.406507229336,1,1000.0,2.1645589122715916,-1193.4927706640224,-0.3675861361862139,3246.8383684073874,1,stop,3125937.730739816
AO0,5514,5539,2025-10-30 06:30:00,2025-11-03 01:00:00,-1,2814.0,2784.656090101961,2,20.0,14.447687174088086,1173.756395921555,1.3540303276899641,866.8612304452852,25,stop,3121493.2310868423
EB0,6142,6143,2025-10-31 14:30:00,2025-11-03 01:00:00,-1,6468.0,6511.13050304782,4,5.0,28.75366869854662,-862.6100609563946,-0.9999999999999953,862.6100609563986,1,stop,3125937.730739816
FG0,6144,6146,2025-11-03 01:30:00,2025-11-03 02:30:00,1,1118.0,1102.8257491063218,6,20.0,10.756028304382394,-1820.9101072413796,-0.9405114021808978,1936.0850947888307,2,stop,3125055.3843041174
SP0,6144,6146,2025-11-03 01:30:00,2025-11-03 02:30:00,1,5306.0,5271.576919294689,2,10.0,25.893493839710597,-688.4616141062179,-0.8862736180859769,776.8048151913179,2,stop,3125055.3843041174
AG0,5090,5098,2025-11-03 03:00:00,2025-11-03 15:00:00,1,11428.0,11388.945465112245,1,15.0,54.44885766661363,-585.8180233163239,-0.47818003366122613,1225.0992974988067,8,stop,3125055.3843041174
IM0,6357,6360,2025-11-03 05:30:00,2025-11-04 01:30:00,1,7371.4,7328.323221388292,1,200.0,48.67356452818415,-8615.35572234152,-0.5900092316266699,14602.069358455245,3,stop,3122546.0125827696
Y0,6155,6159,2025-11-04 01:00:00,2025-11-04 03:00:00,1,8182.0,8140.989726076869,1,10.0,30.4449071901291,-410.10273923130626,-0.898021545760688,456.6736078519365,4,stop,3121960.1945594535
AG0,5099,5113,2025-11-03 15:30:00,2025-11-04 13:00:00,-1,11386.0,11278.236019048136,1,15.0,58.081378740039085,1616.4597142779621,1.2369309325362803,1306.8310216508794,14,stop,3121960.1945594535
FG0,6156,6167,2025-11-04 01:30:00,2025-11-05 01:00:00,1,1103.0,1107.688762788429,7,20.0,8.940199536728105,656.4267903800464,0.3496389365931964,1877.4419027129022,11,stop,3121960.1945594535
TA0,6166,6170,2025-11-04 13:30:00,2025-11-05 01:30:00,-1,4562.0,4590.94471835646,6,5.0,19.373431155290376,-868.3415506937945,-0.9960279492895703,871.804401988067,4,stop,3114551.1958121588
IM0,6361,6371,2025-11-04 02:00:00,2025-11-05 03:00:00,-1,7300.2,7292.203084686979,1,200.0,47.91148158292031,1599.3830626041017,0.11127347139370289,14373.444474876092,10,stop,3113344.838837112
AL0,5580,5587,2025-11-05 13:30:00,2025-11-06 01:00:00,1,21470.0,21395.619708494083,1,5.0,64.04860645121653,-371.90145752958415,-0.7742067119245295,480.36454838412396,7,stop,3115938.6641144487
M0,6168,6179,2025-11-05 01:30:00,2025-11-06 01:00:00,1,3030.0,3065.1572349077564,5,10.0,11.910016013006347,1757.8617453878223,1.9679366156666205,893.251200975476,11,stop,3115207.6226025387
JM0,6176,6180,2025-11-05 13:30:00,2025-11-06 01:30:00,1,1281.0,1272.626328706006,2,60.0,10.615343485691588,-1004.8405552792792,-0.5258847758298076,1910.7618274244855,4,stop,3115938.6641144487
FG0,6171,6184,2025-11-05 03:00:00,2025-11-06 05:30:00,-1,1095.0,1095.1170272291135,7,20.0,8.905246199495101,-16.383812075896458,-0.008760920360268924,1870.101701893971,13,stop,3114339.281051845
Y0,6198,6206,2025-11-07 06:30:00,2025-11-10 02:30:00,1,8192.0,8181.15882685024,1,10.0,24.771972679310394,-108.41173149759925,-0.2917591126096711,371.5795901896559,8,stop,3116303.400034952
